# Fitted Temperatures:
# Downstream (K): 1790.5	1.1
# Upstream (K): 1821.0	3.0
# 
# Datacolumns:
# wavelength(nm)	DS_data	DS_fit
6.955390025177784992e+02 3.473650955493139463e+03 3.521056839130356821e+03
6.958014290387997107e+02 3.530104801994967602e+03 3.529769468978232453e+03
6.960638537031481974e+02 3.515093337471934774e+03 3.538494486805455836e+03
6.963262765095480518e+02 3.510853316363121849e+03 3.547231889379161657e+03
6.965886974567226844e+02 3.536323347545765500e+03 3.555981673428604608e+03
6.968511165433967562e+02 3.559105218974781565e+03 3.564743835645312629e+03
6.971135337682941326e+02 3.541779680230626127e+03 3.573518372682984591e+03
6.973759491301385651e+02 3.588039024891453209e+03 3.582305281157618538e+03
6.976383626276547147e+02 3.631816464871479184e+03 3.591104557647517140e+03
6.979007742595662194e+02 3.601132412318116621e+03 3.599916198693323167e+03
6.981631840245972853e+02 3.630006910093883107e+03 3.608740200798082697e+03
6.984255919214724599e+02 3.625238993719104201e+03 3.617576560427252389e+03
6.986879979489154948e+02 3.651498017214145875e+03 3.626425274008761335e+03
6.989504021056509373e+02 3.635846018252265367e+03 3.635286337933016512e+03
6.992128043904028800e+02 3.677888472668847498e+03 3.644159748552981910e+03
6.994752048018953019e+02 3.683603547005857763e+03 3.653045502184202633e+03
6.997376033388532051e+02 3.651627545553744767e+03 3.661943595104849919e+03
7.000000000000000000e+02 3.696686420664798788e+03 3.670854023555716140e+03
