# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-1.082415994543798e-06), np.float64(0.17719322045398636), np.float64(610.0072640802747)]
# RMS residual: 0.02939 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.465    614.3063  Ne I   -0.0353
  35.536    616.3594  Ne I   +0.0567
  66.025    621.7281  Ne I   +0.0264
  94.055    626.6495  Ne I   -0.0141
 132.356    633.4428  Ne I   +0.0019
 159.964    638.2991  Ne I   -0.0251
 170.818    640.2246  Ne I   -0.0189
 229.702    650.6528  Ne I   +0.0010
 244.586    653.2882  Ne I   +0.0067
 282.187    659.8953  Ne I   -0.0273
 326.973    667.8276  Ne I   -0.0013
 348.877    671.7043  Ne I   +0.0101
 469.381    692.9467  Ne I   +0.0068
 527.793    703.2413  Ne I   +0.0142
 648.874    724.5167  Ne I   -0.0110
 759.217    743.8898  Ne I   -0.0216
 796.199    750.3869  Ar I   -0.0153
 813.803    753.5774  Ne I   +0.0866
 870.953    763.5106  Ar I   -0.0026
 921.997    772.4207  Ar I   -0.0381
#
# pixel  wavelength_nm  counts
  700   733.5121  6277.0
  701   733.6878  6216.0
  702   733.8635  6198.0
  703   734.0392  6218.0
  704   734.2148  6156.0
  705   734.3905  6199.0
  706   734.5662  6311.0
  707   734.7418  6410.0
  708   734.9175  6151.0
  709   735.0931  6162.0
  710   735.2688  6077.0
  711   735.4445  6178.0
  712   735.6201  6147.0
  713   735.7958  6135.0
  714   735.9714  6129.0
  715   736.1471  6097.0
  716   736.3227  6273.0
  717   736.4983  6153.0
  718   736.6740  6255.0
  719   736.8496  6192.0
  720   737.0253  6139.0
  721   737.2009  6153.0
  722   737.3765  6056.0
  723   737.5522  6141.0
  724   737.7278  6121.0
  725   737.9034  6250.0
  726   738.0790  6260.0
  727   738.2546  6391.0
  728   738.4303  6312.0
  729   738.6059  6179.0
  730   738.7815  6219.0
  731   738.9571  6216.0
  732   739.1327  6184.0
  733   739.3083  6092.0
  734   739.4839  6170.0
  735   739.6595  6144.0
  736   739.8351  6078.0
  737   740.0107  6194.0
  738   740.1863  6232.0
  739   740.3619  6123.0
  740   740.5375  5921.0
  741   740.7131  5923.0
  742   740.8887  6019.0
  743   741.0643  5909.0
  744   741.2399  6071.0
  745   741.4154  5956.0
  746   741.5910  6048.0
  747   741.7666  6095.0
  748   741.9422  6148.0
  749   742.1177  6108.0
  750   742.2933  6117.0
  751   742.4689  5941.0
  752   742.6445  6059.0
  753   742.8200  5926.0
  754   742.9956  5978.0
  755   743.1711  6098.0
  756   743.3467  6288.0
  757   743.5223  6327.0
  758   743.6978  6386.0
  759   743.8734  6338.0
  760   744.0489  6452.0
  761   744.2245  6307.0
  762   744.4000  6268.0
  763   744.5755  6204.0
  764   744.7511  6020.0
  765   744.9266  5974.0
  766   745.1022  5892.0
  767   745.2777  5802.0
  768   745.4532  5964.0
  769   745.6288  6005.0
  770   745.8043  6129.0
  771   745.9798  6132.0
  772   746.1553  5906.0
  773   746.3308  5877.0
  774   746.5064  5853.0
  775   746.6819  5904.0
  776   746.8574  5956.0
  777   747.0329  5946.0
  778   747.2084  5990.0
  779   747.3839  5968.0
  780   747.5594  6062.0
  781   747.7349  6029.0
  782   747.9104  6038.0
  783   748.0859  6013.0
  784   748.2614  5944.0
  785   748.4369  6084.0
  786   748.6124  6194.0
  787   748.7879  6306.0
  788   748.9634  6348.0
  789   749.1389  6263.0
  790   749.3144  6153.0
  791   749.4899  6109.0
  792   749.6653  6143.0
  793   749.8408  6418.0
  794   750.0163  6588.0
  795   750.1918  6937.0
  796   750.3672  7066.0
  797   750.5427  6934.0
  798   750.7182  6610.0
  799   750.8936  6552.0
  800   751.0691  6535.0
  801   751.2446  6609.0
  802   751.4200  6633.0
  803   751.5955  6457.0
  804   751.7709  6246.0
  805   751.9464  6094.0
  806   752.1218  5975.0
  807   752.2973  5848.0
  808   752.4727  5880.0
  809   752.6482  5885.0
  810   752.8236  6011.0
  811   752.9990  6001.0
  812   753.1745  6278.0
  813   753.3499  6518.0
  814   753.5253  6380.0
  815   753.7008  6272.0
  816   753.8762  6245.0
  817   754.0516  6157.0
  818   754.2270  6150.0
  819   754.4025  6129.0
  820   754.5779  6180.0
  821   754.7533  5989.0
  822   754.9287  5923.0
  823   755.1041  5858.0
  824   755.2795  5915.0
  825   755.4550  5862.0
  826   755.6304  6016.0
  827   755.8058  5992.0
  828   755.9812  5852.0
  829   756.1566  5919.0
  830   756.3320  5866.0
  831   756.5074  5888.0
  832   756.6827  5762.0
  833   756.8581  5957.0
  834   757.0335  6085.0
  835   757.2089  6184.0
  836   757.3843  5863.0
  837   757.5597  5784.0
  838   757.7351  5814.0
  839   757.9104  5766.0
  840   758.0858  5866.0
  841   758.2612  5806.0
  842   758.4366  5836.0
  843   758.6119  5904.0
  844   758.7873  5943.0
  845   758.9627  5932.0
  846   759.1380  5890.0
  847   759.3134  5836.0
  848   759.4887  5867.0
  849   759.6641  5810.0
