# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-6.295521306749217e-09), np.float64(7.656898793276602e-06), np.float64(-0.16204872591505995), np.float64(815.8693669957287)]
# RMS residual: 0.25717 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.683    811.5311  Ar I   -0.3429
  35.623    810.3693  Ar I   +0.2632
  94.046    800.6157  Ar I   -0.0761
 132.655    794.8176  Ar I   +0.3248
 269.064    772.3761  Ar I   -0.3235
 326.972    763.5106  Ar I   +0.0281
 404.755    751.4652  Ar I   +0.3488
 410.779    750.3869  Ar I   +0.2282
 482.755    738.3980  Ar I   -0.3177
 492.195    737.2118  Ar I   -0.0023
 546.100    728.1349  He I   -0.4978
 595.905    720.6980  Ar I   +0.0075
 634.908    714.7042  Ar I   +0.2456
 684.214    706.5188  He I   -0.0425
 748.070    696.5431  Ar I   +0.2481
 922.784    667.8151  He I   -0.0915
#
# pixel  wavelength_nm  counts
  754   695.3391  5978.0
  755   695.1778  6098.0
  756   695.0165  6288.0
  757   694.8553  6327.0
  758   694.6940  6386.0
  759   694.5327  6338.0
  760   694.3714  6452.0
  761   694.2101  6307.0
  762   694.0487  6268.0
  763   693.8874  6204.0
  764   693.7260  6020.0
  765   693.5646  5974.0
  766   693.4032  5892.0
  767   693.2418  5802.0
  768   693.0804  5964.0
  769   692.9190  6005.0
  770   692.7575  6129.0
  771   692.5960  6132.0
  772   692.4346  5906.0
  773   692.2731  5877.0
  774   692.1116  5853.0
  775   691.9501  5904.0
  776   691.7885  5956.0
  777   691.6270  5946.0
  778   691.4654  5990.0
  779   691.3039  5968.0
  780   691.1423  6062.0
  781   690.9807  6029.0
  782   690.8190  6038.0
  783   690.6574  6013.0
  784   690.4958  5944.0
  785   690.3341  6084.0
  786   690.1724  6194.0
  787   690.0108  6306.0
  788   689.8491  6348.0
  789   689.6873  6263.0
  790   689.5256  6153.0
  791   689.3639  6109.0
  792   689.2021  6143.0
  793   689.0403  6418.0
  794   688.8785  6588.0
  795   688.7167  6937.0
  796   688.5549  7066.0
  797   688.3931  6934.0
  798   688.2312  6610.0
  799   688.0694  6552.0
  800   687.9075  6535.0
  801   687.7456  6609.0
  802   687.5837  6633.0
  803   687.4218  6457.0
  804   687.2598  6246.0
  805   687.0979  6094.0
  806   686.9359  5975.0
  807   686.7739  5848.0
  808   686.6119  5880.0
  809   686.4499  5885.0
  810   686.2879  6011.0
  811   686.1258  6001.0
  812   685.9638  6278.0
  813   685.8017  6518.0
  814   685.6396  6380.0
  815   685.4775  6272.0
  816   685.3154  6245.0
  817   685.1533  6157.0
  818   684.9911  6150.0
  819   684.8289  6129.0
  820   684.6668  6180.0
  821   684.5046  5989.0
  822   684.3423  5923.0
  823   684.1801  5858.0
  824   684.0179  5915.0
  825   683.8556  5862.0
  826   683.6933  6016.0
  827   683.5310  5992.0
  828   683.3687  5852.0
  829   683.2064  5919.0
  830   683.0441  5866.0
  831   682.8817  5888.0
  832   682.7193  5762.0
  833   682.5569  5957.0
  834   682.3945  6085.0
  835   682.2321  6184.0
  836   682.0697  5863.0
  837   681.9072  5784.0
  838   681.7448  5814.0
  839   681.5823  5766.0
  840   681.4198  5866.0
  841   681.2572  5806.0
  842   681.0947  5836.0
  843   680.9322  5904.0
  844   680.7696  5943.0
  845   680.6070  5932.0
  846   680.4444  5890.0
  847   680.2818  5836.0
  848   680.1191  5867.0
  849   679.9565  5810.0
  850   679.7938  5776.0
  851   679.6311  5842.0
  852   679.4684  5855.0
  853   679.3057  5913.0
  854   679.1430  5947.0
  855   678.9802  5918.0
  856   678.8175  5853.0
  857   678.6547  5794.0
  858   678.4919  5884.0
  859   678.3290  5915.0
  860   678.1662  5943.0
  861   678.0033  5811.0
  862   677.8405  5826.0
  863   677.6776  5912.0
  864   677.5147  5872.0
  865   677.3517  5957.0
  866   677.1888  6078.0
  867   677.0258  6130.0
  868   676.8629  6041.0
  869   676.6999  6306.0
  870   676.5369  6503.0
  871   676.3738  6524.0
  872   676.2108  6430.0
  873   676.0477  6319.0
  874   675.8846  6111.0
  875   675.7215  5984.0
  876   675.5584  6093.0
  877   675.3953  6062.0
